Data Awarii;TCZP;ITNumber;TicketNumber;Rodzaj Naprawy;Non Bom Number;Info
2024-10-11 00:00:00.000;TCZP3211;IT0022952;INC20859903;Czyszczenie;n/d;Czyszcenie g∏owicy
2024-10-11 00:00:00.000;TCZP1047;IT0000850;INC20851690;Kalibracja;-;
2024-10-11 00:00:00.000;TCZP1086;IT0019465;INC20855067;Kalibracja;-;
2024-10-15 00:00:00.000;TCZP2003;IT0000840;INC20887810;Wymiana glowicy;176528;
2024-10-15 00:00:00.000;TCZP2001;IT0012719;INC20889166;Problem sieciowy;-;
2024-10-03 00:00:00.000;TCZP1126;IT0038543;INC20743117;Kalibracja;n/d;
2024-10-03 00:00:00.000;TCZP1149;IT0027031;INC20735127;Kalibracja;n/d;
2024-10-02 00:00:00.000;TCZP1194;IT0018879;INC20743395;Problem sieciowy;n/d;
2024-10-02 00:00:00.000;TCZP2057;IT0021132;INC20742219;Problem sieciowy;n/d;problem dotyczy drukarek hellermann pod∏àczonych do switcha TCZTS-PROD-147
2024-10-02 00:00:00.000;TCZP3160;IT0018550;INC20742197;Problem sieciowy;n/d;problem dotyczy drukarek hellermann podlaczonych do switcha TCZTS-prod-147
2024-09-29 00:00:00.000;TCZP3213;IT0023000;INC20639155;Problem sieciowy;n/d;
2024-09-20 00:00:00.000;TCZP1244;IT0013894;INC20525895;Kalibracja;n/d;
2024-09-09 00:00:00.000;...;IT0022957;INC20372282;Kalibracja;n/d;
2024-09-09 00:00:00.000;TCZP2057;IT0021132;INC20372282;Kalibracja;n/d;
2024-08-26 00:00:00.000;TCZP1057;IT0028006;INC20198788;Kalibracja;n/d;
2024-08-21 00:00:00.000;TCZP1185;IT0027931;INC20142881;Kalibracja;n/d;
2024-10-17 00:00:00.000;TCZP3241;IT0038548;INC20845689;Problem sieciowy;n/a;
2024-10-17 00:00:00.000;TCZP4079;IT0038154;INC20892881;Problem z czujnikiem;n/a;
2024-10-17 00:00:00.000;TCZP4081;IT0038152;INC20892881;Problem z czujnikiem;n/a;
2024-10-18 00:00:00.000;TCZP1218;IT0011935;INC20932307;Kalibracja;n/a;
2024-10-18 00:00:00.000;TCZP1250;IT0013873;INC20932392;Kalibracja;n/a;
2024-10-18 00:00:00.000;TCZP3248;IT0024354;INC20968424;Kalibracja;n/d;
2024-10-19 00:00:00.000;TCZP3159;IT0024352;TPM;Czyszczenie;n/a;
2024-10-19 00:00:00.000;TCZP1028;IT0004133;INC20980997;Kalibracja;-;
2024-10-21 00:00:00.000;TCZP1057;IT0028006;INC20998487;Kalibracja;n/d;Kalibracja rozwiàza∏a problem z drukowaniem
2024-10-21 00:00:00.000;TCZP1213;IT0009272;INC20998452;Kalibracja;n/d;Kalibracja rozwiàza∏a problem
2024-10-21 00:00:00.000;TCZP4095;IT0038585;TASK5791630;Kalibracja;n/d;kalobracja, reset do defaulta, wypozycjonowanie
2024-10-22 00:00:00.000;TCZP3153;IT0025047;INC21009631;.Nie jestem w stanie wybraç odpowiedniej kategorii;n/d;kalibracja i usuni´cie nawini´tych naklejek z wa∏ka
2024-10-22 00:00:00.000;TCZP1189;IT0018872;INC20969548;Problem sieciowy;n/d;
2024-10-22 00:00:00.000;TCZP1144;IT0036599;INC21015716;Kalibracja;n/d;By∏o za du˝o kalki chyba i nie równo roz∏o˝one dociski.
2024-10-22 00:00:00.000;TCZP1218;IT0011935;INC21014749;Kalibracja;n/d;Skalibrowano media and ribbon
2024-10-21 00:00:00.000;TCZP3203;IT0024174;TASK5791850;Kalibracja;n/d;weryfikacja, zmiana darkness i speed, kalibracja, reset do defaulta, ponowna kalibracja i wypozycjonowanie nadruku
2024-10-24 00:00:00.000;TCZP1025;IT0036572;INC21038968;Kalibracja;n/d;weryfikacja problemu, wydruki testowe, poprawne na∏o˝enie taÊmy z naklejkami, ponowne wydruki, zdj´cie nadmiaru zuzytej kalki, wydruki testowe, odkr´cenie wygi´tej blaszki przy g∏owicy, wydruki testowe
2024-10-16 00:00:00.000;TCZP2056;IT0013791;INC20920988;Wymiana glowicy;176634 ;Drukarka sie zagrzala, byla goraca i smierdziala plastikiem. Prawdopodobnie spowodowane umyciem glowicy plynem esd przez operatra. Pozniej nie wykrywalo zianstalowanej glowicy.
2024-10-24 00:00:00.000;TCZP1023;IT0005223;INC21022031;.Nie jestem w stanie wybraç odpowiedniej kategorii;-;Reset defaults ustawieƒ, restart drukarki
2024-10-24 00:00:00.000;TCZP3210;IT0038545;INC21028216;.Nie jestem w stanie wybraç odpowiedniej kategorii;-;Reset defaults ustawien, restart
2024-10-24 00:00:00.000;TCZP1126;IT0038543;INC21028216;.Nie jestem w stanie wybraç odpowiedniej kategorii;-;reset defaults ustawien, restart
2024-10-24 00:00:00.000;TCZQ0082;IT0037738;INC21042293;.Nie jestem w stanie wybraç odpowiedniej kategorii;-;Problem z sesja w IB
2024-10-24 00:00:00.000;TCZQ0083;IT0037737;INC21042293;.Nie jestem w stanie wybraç odpowiedniej kategorii;-;Problem z sesja w IB
2024-10-24 00:00:00.000;TCZQ0084;IT0037663;INC21042293;.Nie jestem w stanie wybraç odpowiedniej kategorii;-;Problem z sesja w IB
2024-10-27 00:00:00.000;TCZP1177;IT0011927;INC21051604;.Nie jestem w stanie wybraç odpowiedniej kategorii;n/d;
2024-10-29 00:00:00.000;TCZP4088;IT0038156;INC21097522;Kalibracja;n/d;G∏owica nie dociska∏a naklejek, problemem by∏ wa∏ek który zosta∏ wyj´ty z miejsca i nie w∏o˝ony odpowiednio
