Numer;Numer IT;Tczp;Model;Numer seryjny;Lokalizacja;Linie / projekt;Wydruki w loftware;Wydruki z BAAN;üˆczna liczba wydruk—w;Okres przeglˆdu;Limit wydruk—w;Total
00518;IT0016418;TCZP3154;zebra,110xi4,300dpi;14J171000521;b4;inspekcja wizualna 2;22;0;22;P—¸roczny;100000;148607
00519;IT0018040;TCZP1205;zebra,110xi4300dpi;14J171400075;b2;montaz 3;0;0;0;P—¸roczny;100000;21855
00520;IT0018041;TCZP3179;zebra,110xi4,300dpi;14J171400076;b4;s3 pallet pack;2173;0;2173;P—¸roczny;100000;385623
00521;IT0018042;TCZP2074;110xi4 300dpi;14J171300993;b3;warehouse;0;0;0;P—¸roczny;100000;10241
00522;IT0018204;TCZP1094;zebra,110xi3,300dpi;91C07140247;b4;instruktor;225;0;225;P—¸roczny;100000;17674
00525;IT0016541;TCZP1254;zebra,110xi4300dpi;14J171401530;b2;w2 module assembly 1;6931;0;6931;P—¸roczny;100000;305175
00526;IT0016542;TCZP2054;zebra,110xi4300dpi;14J171401527;b2;brak stanowiska;0;0;0;P—¸roczny;100000;169
00527;IT0014949;TCZP1229;zebra,110xi4300dpi;14j164501209;b2;stanowiskododawanienowegosprzetu;563;0;563;P—¸roczny;100000;36842
00528;IT0018100;TCZP1197;zebra,110xi4,600dpi;14J172100783;b1;poprawejstronie;8703;0;8703;P—¸roczny;100000;27143
00529;IT0018099;TCZP1190;zebra,110xi4600dpi;14J172100777;b2;nakoncu;33;0;33;P—¸roczny;100000;3341
00533;IT0018320;TCZP2050;zebra,110xi4300dpi;14J175000196;b2;tl;0;0;0;P—¸roczny;100000;21750
00534;IT0018319;TCZP1248;zebra,110xi4,300dpi;14J175000187;b4;commonpackingarea;62;0;62;P—¸roczny;100000;5146
00535;IT0018333;TCZP3166;110xi4;14J175000214;b1;dystrybutorfab;0;0;0;P—¸roczny;100000;1291364
00536;IT0009338;TCZQ0001;qln240;XXQVJ141300349;b2;;2526;11;2537;P—¸roczny;100000;2539
00538;IT0009339;TCZQ0002;ql420plus;XXVTJ130900900;b2;;0;0;0;P—¸roczny;100000;0
00542;IT0013789;tczp1232;zebra,110xi4,300dpi;14J160600068;b4;pakowianie;1916;0;1916;P—¸roczny;100000;6882
00543;IT0013790;TCZP1233;zebra,110xi4,300dpi;14J160600075;b4;pick from stock 3;100;0;100;P—¸roczny;100000;25953
00546;IT0013970;TCZP2034;zebra,110xi4,300dpi;14J162400128;b3;stanowisko2;0;152;152;P—¸roczny;100000;66757
00553;IT0018390;TCZP1088;zebra,110xi4600dpi;14J180900031;b2;miernik 2;23021;0;23021;P—¸roczny;100000;859998
00554;IT0018539;TCZP1054;zebra,110xi4300dpi;14J153000048;b2;montaz 2.2;13344;0;13344;P—¸roczny;100000;61521
00555;IT0018725;...;zebra gk420d;28J174604309;b1;sealed air;2337;0;2337;P—¸roczny;100000;2366
00557;IT0018896;tczp1073;zebra,110xi4300dpi;14J124300288;b2;stanowisko 7;271;0;271;P—¸roczny;100000;4541
00558;IT0018933;TCZP2080;110xi4 300dpi;14j132001148;b2;dzielenie 6;0;0;0;P—¸roczny;100000;35258
00559;IT0018873;TCZP1238;ttbp6;H5178V200700001;b2;sprue naprawy;0;0;0;P—¸roczny;100000;957709
00560;IT0018872;TCZP1189;hellermann,600dpi;H5178V200700013;b3;sqa;90;0;90;P—¸roczny;100000;1092477
00561;IT0018871;TCZP1198;hellermann,600dpi;H5178V200700012;b2;olsudystrybutor;0;0;0;P—¸roczny;100000;1955171
00569;IT0019369;TCZP1039;hellermann600dpi;H5181V200700014;b1;abbthortl;1;0;1;P—¸roczny;100000;8750
00571;IT0019411;...;ttbp3;H4181V200700018;b3;przyjecia antresola stanowisko 3;0;0;0;P—¸roczny;100000;25741
00572;IT0019468;(default);qln420;XXQVJ183000473;b1;jaroslaw szeremeta;0;;0;P—¸roczny;100000;0
00574;IT0019465;TCZP1086;zebra,110xi3 plus 300dpi;91C08470294;b2;stanowisko 1b;32406;0;32406;P—¸roczny;100000;783166
00698;IT0020028;TCZP2055;zebra,110xi4,300dpi;14J180800302;b3;stanowisko 10;0;0;0;P—¸roczny;100000;43021
00699;IT0020077;...;zebra qln420;XXQVJ191500142;b1;Malarnia;0;0;0;P—¸roczny;100000;0
00702;IT0021775;TCZP2049;hellermann300dpi;H4172V200600032;b1;zoid shelf tl;0;0;0;P—¸roczny;100000;206583
00706;IT0022036;TCZP1090;hellermann600dpi;H5194V200900013;b2;dry box;1235;0;1235;P—¸roczny;100000;301557
00711;IT0022511;TCZP3199;hellermann300dpi;H4172V200600027;b5;stanowisko przy rampach;153;0;153;P—¸roczny;100000;6975
00717;IT0023410;TCZP3246;hellermann i 300;H420900013;b4;s3 pallet pack;196;0;196;P—¸roczny;100000;37520
00718;IT0023720;TCZQ1165;zebrazq630;XXZLJ205103526;b3;slon nr8;0;0;0;P—¸roczny;100000;0
00719;IT0023719;ZEBRA ZQ630;zq630;XXZLJ205103527;b3;Dystrybucja;0;;0;P—¸roczny;100000;0
00721;IT0023340;...;ttbp3  300 dpi;H420900008;b3;b3 bis;0;;0;P—¸roczny;100000;0
00722;IT0023355;...;ttbp3  300 dpi;H420900011;b3;b3 bis;0;;0;P—¸roczny;100000;0
00723;IT0023809;TCZP1124;hellermann,600dpi;H5196V200900002;b2;oklejanie;3411;0;3411;P—¸roczny;100000;485045
00724;IT0023932;TCZQ0021;zebraqln420;xxqvj162801413;b3;narzedzia;11;0;11;P—¸roczny;100000;52889
00725;IT0023960;TCZQ0066;zebrazq630;XXZLJ204502280;b3;przyjecia;0;0;0;P—¸roczny;100000;449
00727;IT0024204;TCZP3244;hellermann,600dpi;H5196V200900010;b4;inspekcja wizualna;1619;0;1619;P—¸roczny;100000;41532
00728;IT0024354;TCZP3248;hellermann,600dpi;H5196V200900009;b4;inspekcja wizualna;247;0;247;P—¸roczny;100000;45550
00729;IT0024353;TCZP3247;hellermann,300dpi;H420C00017;b4;pakowianie;135;0;135;P—¸roczny;100000;1154
00732;IT0020344;TCZP1214;hellermann,600dpi;H5178V200700009;b4;shearwater;81314;0;81314;P—¸roczny;100000;477000
00733;IT0020345;TCZP2100;ttbp8;H5178V200700007;b2;taygeta;0;0;0;P—¸roczny;100000;7438
00736;IT0020348;TCZP2099;hellermann,600dpi;H5178V200700014;b3;sprue;10238;0;10238;P—¸roczny;100000;989946
00737;IT0020364;TCZP1100;hellermann600dpi;H5178V200700015;b1;sealed air;223;0;223;P—¸roczny;100000;10021
00739;IT0020004;TCZP1193;hellermann,300dpi;H4181V200700012;b2;pakowanie5.10;21095;0;21095;P—¸roczny;100000;101008
